group,rank,team,played,won,drawn,lost,goals_for,goals_against,goal_diff,points
Group A,0,Mexico,1,1,0,0,2,0,2,3
Group A,0,Czechia,1,0,0,1,1,2,-1,0
Group A,0,South Korea,1,1,0,0,2,1,1,3
Group A,0,South Africa,1,0,0,1,0,2,-2,0
Group B,0,Canada,1,0,1,0,1,1,0,1
Group B,0,Bosnia-Herzegovina,1,0,1,0,1,1,0,1
Group B,0,Switzerland,1,0,1,0,1,1,0,1
Group B,0,Qatar,1,0,1,0,1,1,0,1
Group C,0,Brazil,1,0,1,0,1,1,0,1
Group C,0,Scotland,1,1,0,0,1,0,1,3
Group C,0,Haiti,1,0,0,1,0,1,-1,0
Group C,0,Morocco,1,0,1,0,1,1,0,1
Group D,0,Paraguay,1,0,0,1,1,4,-3,0
Group D,0,Türkiye,0,0,0,0,0,0,0,0
Group D,0,Australia,0,0,0,0,0,0,0,0
Group D,0,United States,1,1,0,0,4,1,3,3
Group E,0,Ecuador,0,0,0,0,0,0,0,0
Group E,0,Germany,0,0,0,0,0,0,0,0
Group E,0,Ivory Coast,0,0,0,0,0,0,0,0
Group E,0,Curaçao,0,0,0,0,0,0,0,0
Group F,0,Netherlands,0,0,0,0,0,0,0,0
Group F,0,Sweden,0,0,0,0,0,0,0,0
Group F,0,Japan,0,0,0,0,0,0,0,0
Group F,0,Tunisia,0,0,0,0,0,0,0,0
Group G,0,Belgium,0,0,0,0,0,0,0,0
Group G,0,Iran,0,0,0,0,0,0,0,0
Group G,0,Egypt,0,0,0,0,0,0,0,0
Group G,0,New Zealand,0,0,0,0,0,0,0,0
Group H,0,Spain,0,0,0,0,0,0,0,0
Group H,0,Uruguay,0,0,0,0,0,0,0,0
Group H,0,Saudi Arabia,0,0,0,0,0,0,0,0
Group H,0,Cape Verde,0,0,0,0,0,0,0,0
Group I,0,Norway,0,0,0,0,0,0,0,0
Group I,0,France,0,0,0,0,0,0,0,0
Group I,0,Senegal,0,0,0,0,0,0,0,0
Group I,0,Iraq,0,0,0,0,0,0,0,0
Group J,0,Argentina,0,0,0,0,0,0,0,0
Group J,0,Austria,0,0,0,0,0,0,0,0
Group J,0,Algeria,0,0,0,0,0,0,0,0
Group J,0,Jordan,0,0,0,0,0,0,0,0
Group K,0,Colombia,0,0,0,0,0,0,0,0
Group K,0,Portugal,0,0,0,0,0,0,0,0
Group K,0,Uzbekistan,0,0,0,0,0,0,0,0
Group K,0,Congo DR,0,0,0,0,0,0,0,0
Group L,0,England,0,0,0,0,0,0,0,0
Group L,0,Croatia,0,0,0,0,0,0,0,0
Group L,0,Panama,0,0,0,0,0,0,0,0
Group L,0,Ghana,0,0,0,0,0,0,0,0
