group,rank,team,played,won,drawn,lost,goals_for,goals_against,goal_diff,points
Group A,0,Mexico,2,2,0,0,3,0,3,6
Group A,0,Czechia,2,0,1,1,2,3,-1,1
Group A,0,South Korea,2,1,0,1,2,2,0,3
Group A,0,South Africa,2,0,1,1,1,3,-2,1
Group B,0,Canada,2,1,1,0,7,1,6,4
Group B,0,Bosnia-Herzegovina,2,0,1,1,2,5,-3,1
Group B,0,Switzerland,2,1,1,0,5,2,3,4
Group B,0,Qatar,2,0,1,1,1,7,-6,1
Group C,0,Brazil,2,1,1,0,4,1,3,4
Group C,0,Scotland,2,1,0,1,1,1,0,3
Group C,0,Haiti,2,0,0,2,0,4,-4,0
Group C,0,Morocco,2,1,1,0,2,1,1,4
Group D,0,Paraguay,2,1,0,1,2,4,-2,3
Group D,0,Türkiye,2,0,0,2,0,3,-3,0
Group D,0,Australia,2,1,0,1,2,2,0,3
Group D,0,United States,2,2,0,0,6,1,5,6
Group E,0,Ecuador,2,0,1,1,0,1,-1,1
Group E,0,Germany,2,2,0,0,9,2,7,6
Group E,0,Ivory Coast,2,1,0,1,2,2,0,3
Group E,0,Curaçao,2,0,1,1,1,7,-6,1
Group F,0,Netherlands,2,1,1,0,7,3,4,4
Group F,0,Sweden,2,1,0,1,6,6,0,3
Group F,0,Japan,2,1,1,0,6,2,4,4
Group F,0,Tunisia,2,0,0,2,1,9,-8,0
Group G,0,Belgium,2,0,2,0,1,1,0,2
Group G,0,Iran,2,0,2,0,2,2,0,2
Group G,0,Egypt,2,1,1,0,4,2,2,4
Group G,0,New Zealand,2,0,1,1,3,5,-2,1
Group H,0,Spain,2,1,1,0,4,0,4,4
Group H,0,Uruguay,2,0,2,0,3,3,0,2
Group H,0,Saudi Arabia,2,0,1,1,1,5,-4,1
Group H,0,Cape Verde,2,0,2,0,2,2,0,2
Group I,0,Norway,2,2,0,0,7,3,4,6
Group I,0,France,2,2,0,0,6,1,5,6
Group I,0,Senegal,2,0,0,2,3,6,-3,0
Group I,0,Iraq,2,0,0,2,1,7,-6,0
Group J,0,Argentina,2,2,0,0,5,0,5,6
Group J,0,Austria,2,1,0,1,3,3,0,3
Group J,0,Algeria,1,0,0,1,0,3,-3,0
Group J,0,Jordan,1,0,0,1,1,3,-2,0
Group K,0,Colombia,1,1,0,0,3,1,2,3
Group K,0,Portugal,1,0,1,0,1,1,0,1
Group K,0,Uzbekistan,1,0,0,1,1,3,-2,0
Group K,0,Congo DR,1,0,1,0,1,1,0,1
Group L,0,England,1,1,0,0,4,2,2,3
Group L,0,Croatia,1,0,0,1,2,4,-2,0
Group L,0,Panama,1,0,0,1,0,1,-1,0
Group L,0,Ghana,1,1,0,0,1,0,1,3
